SeasonEnd,Team,Playoffs,W,PTS,oppPTS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV
1981,Chicago Bulls,1,45,8937,8775,3457,6903,3419,6724,38,179,1985,2563,1227,2475,1925,729,514,1672
1981,Cleveland Cavaliers,0,28,8670,9068,3556,7609,3484,7360,72,249,1486,1909,1258,2243,2007,632,322,1396
1981,Dallas Mavericks,0,15,8322,9011,3204,6928,3158,6763,46,165,1868,2487,1109,2177,1984,561,214,1439
1981,Denver Nuggets,0,37,9986,10025,3784,7960,3754,7815,30,145,2388,3051,1325,2497,2030,720,380,1444
1981,Detroit Pistons,0,21,8174,8692,3236,6986,3223,6902,13,84,1689,2330,1201,2111,1819,884,492,1759
1981,Golden State Warriors,0,39,9006,9103,3560,7284,3500,7074,60,210,1826,2513,1403,2366,2026,611,301,1547
1981,Houston Rockets,1,40,8878,8851,3573,7335,3552,7217,21,118,1711,2223,1216,2347,2099,705,390,1451
1981,Indiana Pacers,1,44,8827,8712,3491,7245,3461,7076,30,169,1815,2540,1325,2267,2091,833,484,1491
1981,Kansas City Kings,1,40,8769,8768,3572,7151,3523,6983,49,168,1576,2206,1037,2450,2271,719,385,1448
1981,Los Angeles Lakers,1,54,9117,8802,3780,7382,3763,7288,17,94,1540,2113,1165,2491,2363,808,551,1557
1981,Milwaukee Bucks,1,60,9276,8680,3722,7472,3692,7341,30,131,1802,2340,1261,2408,2319,862,530,1581
1981,New Jersey Nets,0,24,8768,9262,3477,7314,3443,7176,34,138,1780,2371,1092,2374,2068,750,458,1664
1981,New York Knicks,1,50,8849,8716,3505,7255,3449,7019,56,236,1783,2386,1137,2205,1976,861,314,1461
1981,Philadelphia 76ers,1,62,9156,8512,3636,7073,3617,6989,19,84,1865,2427,1091,2618,2369,857,591,1702
1981,Phoenix Suns,1,57,9019,8567,3587,7326,3552,7165,35,161,1810,2430,1234,2490,2205,876,416,1733
1981,Portland Trail Blazers,1,45,9080,9007,3741,7535,3716,7387,25,148,1573,2191,1243,2388,2244,769,480,1518
1981,San Antonio Spurs,1,52,9209,8973,3571,7276,3556,7191,15,85,2052,2668,1304,2582,2048,685,643,1533
1981,San Diego Clippers,0,36,8737,8867,3477,7283,3345,6876,132,407,1651,2246,1169,2144,2098,764,292,1407
1981,Seattle SuperSonics,0,34,8531,8666,3343,7145,3311,7028,32,117,1813,2376,1167,2434,1945,628,438,1524
1981,Utah Jazz,0,28,8301,8784,3332,6825,3290,6662,42,163,1595,2080,962,2325,1948,637,386,1423
1981,Washington Bullets,0,39,8662,8661,3549,7517,3484,7276,65,241,1499,2072,1155,2533,2151,641,392,1422
1982,Atlanta Hawks,1,42,8281,8237,3210,6776,3182,6648,28,128,1833,2387,1135,2368,1815,608,485,1343
1982,Boston Celtics,1,63,9180,8657,3657,7334,3608,7150,49,184,1817,2457,1253,2489,2126,652,568,1452
1982,Chicago Bulls,0,34,8743,8909,3369,6728,3315,6515,54,213,1951,2545,1125,2525,2043,580,483,1636
1982,Cleveland Cavaliers,0,15,8463,9161,3405,7334,3380,7197,25,137,1628,2179,1190,2170,1871,634,357,1319
1982,Dallas Mavericks,0,28,8575,8938,3390,7224,3335,7034,55,190,1740,2366,1213,2228,2117,566,313,1317
1982,Denver Nuggets,1,46,10371,10328,3980,7656,3940,7507,40,149,2371,2978,1149,2443,2272,664,368,1470
1982,Detroit Pistons,0,39,9112,9187,3561,7391,3509,7178,52,213,1938,2581,1298,2345,2027,741,564,1629
1982,Golden State Warriors,0,45,9092,9007,3646,7349,3555,7024,91,325,1709,2382,1282,2452,1820,685,391,1424
1982,Houston Rockets,1,46,8680,8683,3504,7366,3454,7190,50,176,1622,2225,1403,2284,1977,648,429,1321
1982,Indiana Pacers,0,35,8379,8532,3332,7164,3229,6848,103,316,1612,2176,1141,2372,1897,753,494,1393
1982,Kansas City Kings,0,30,8785,9039,3604,7284,3578,7154,26,130,1551,2158,1086,2276,2056,743,402,1507
1982,Los Angeles Lakers,1,57,9400,9001,3919,7585,3906,7491,13,94,1549,2161,1258,2505,2356,848,517,1468
1982,Milwaukee Bucks,1,55,8890,8441,3544,7015,3495,6851,49,164,1753,2329,1167,2415,2233,763,455,1589
1982,New Jersey Nets,1,44,8746,8690,3501,7227,3471,7081,30,146,1714,2354,1194,2320,2096,918,481,1650
1982,New York Knicks,0,33,8707,8926,3523,7178,3465,6964,58,214,1603,2171,1168,2273,2075,719,338,1486
1982,Philadelphia 76ers,1,58,9119,8649,3616,6974,3575,6835,41,139,1846,2471,1031,2389,2264,856,622,1474
1982,Phoenix Suns,1,46,8705,8422,3508,7140,3454,6966,54,174,1635,2157,1123,2517,2223,753,429,1528
1982,Portland Trail Blazers,0,42,9006,8957,3629,7187,3600,7047,29,140,1719,2387,1142,2355,2054,706,367,1390
1982,San Antonio Spurs,1,48,9272,9083,3698,7613,3634,7361,64,252,1812,2335,1253,2537,2257,600,555,1293
1982,San Diego Clippers,0,17,8896,9502,3552,7101,3453,6763,99,338,1693,2341,1131,2196,1878,636,299,1570
1982,Seattle SuperSonics,1,52,8795,8456,3505,7178,3467,7025,38,153,1747,2362,1103,2544,2103,691,460,1351
1982,Utah Jazz,0,25,9094,9558,3679,7446,3657,7349,22,97,1714,2282,1147,2362,1895,700,357,1435
1982,Washington Bullets,1,43,8485,8413,3400,7168,3341,6932,59,236,1626,2105,1047,2583,1983,643,397,1390
1983,Atlanta Hawks,1,43,8335,8413,3352,7146,3307,6958,45,188,1586,2111,1139,2433,1945,573,665,1424
1983,Boston Celtics,1,56,9191,8752,3711,7547,3672,7361,39,186,1730,2348,1273,2532,2216,789,521,1541
1983,Chicago Bulls,0,28,9102,9503,3537,7373,3492,7164,45,209,1983,2690,1267,2527,2086,666,400,1743
1983,Cleveland Cavaliers,0,23,7964,8574,3252,6995,3222,6875,30,120,1430,1983,1173,2414,1738,617,290,1538
1983,Dallas Mavericks,0,38,9243,9277,3674,7550,3631,7365,43,185,1852,2462,1296,2381,2227,552,348,1348
1983,Denver Nuggets,1,45,10105,10054,3951,7999,3927,7873,24,126,2179,2696,1214,2524,2336,789,352,1496
1983,Detroit Pistons,0,37,9239,9272,3623,7602,3551,7330,72,272,1921,2588,1312,2477,2108,679,572,1557
1983,Golden State Warriors,0,30,8908,9205,3627,7508,3593,7358,34,150,1620,2199,1281,2284,1964,856,430,1606
1983,Houston Rockets,0,14,8145,9096,3338,7446,3271,7175,67,271,1402,1934,1206,2260,1931,646,422,1571
1983,Indiana Pacers,0,20,8911,9391,3707,7723,3657,7487,50,236,1447,1910,1299,2294,2150,755,411,1535
1983,Kansas City Kings,0,45,9328,9209,3719,7485,3668,7270,51,215,1839,2530,1256,2407,2155,765,409,1691
1983,Los Angeles Lakers,1,58,9433,8978,3964,7512,3954,7416,10,96,1495,2031,1235,2433,2519,844,479,1584
1983,Milwaukee Bucks,1,51,8740,8379,3486,7133,3449,6964,37,169,1731,2299,1095,2477,2116,662,532,1447
1983,New Jersey Nets,1,49,8672,8445,3510,7140,3480,6991,30,149,1622,2301,1266,2427,2143,911,592,1873
1983,New York Knicks,1,44,8198,7997,3272,6793,3239,6662,33,131,1621,2282,1080,2263,2034,701,378,1509
1983,Philadelphia 76ers,1,65,9191,8562,3600,7212,3575,7103,25,109,1966,2650,1334,2596,2016,812,577,1627
1983,Phoenix Suns,1,53,8776,8361,3555,7158,3515,7000,40,158,1626,2189,1094,2518,2300,749,495,1545
1983,Portland Trail Blazers,1,46,8808,8633,3459,7124,3424,6974,35,150,1855,2512,1180,2380,2030,749,384,1495
1983,San Antonio Spurs,1,53,9375,9075,3697,7340,3603,7032,94,308,1887,2468,1232,2599,2261,675,469,1504
1983,San Diego Clippers,0,25,8903,9299,3625,7634,3561,7372,64,262,1589,2195,1394,2108,2087,820,408,1600
1983,Seattle SuperSonics,1,48,9019,8756,3597,7277,3568,7139,29,138,1796,2459,1152,2569,2278,677,437,1533
1983,Utah Jazz,0,30,8938,9282,3525,7342,3481,7159,44,183,1844,2440,1093,2550,2176,758,595,1683
1983,Washington Bullets,0,42,8134,8145,3306,7059,3236,6822,70,237,1452,2059,1099,2430,2046,733,400,1588
1984,Atlanta Hawks,1,40,8321,8427,3230,6809,3207,6703,23,106,1838,2414,1112,2232,1827,626,558,1329
1984,Boston Celtics,1,62,9194,8656,3616,7235,3561,7006,55,229,1907,2407,1159,2538,2122,673,430,1420
1984,Chicago Bulls,0,27,8501,8926,3305,6972,3285,6855,20,117,1871,2508,1141,2300,2095,687,454,1578
1984,Cleveland Cavaliers,0,28,8386,8735,3362,7232,3319,7068,43,164,1619,2178,1213,2388,1930,630,375,1332
1984,Dallas Mavericks,1,43,9052,9017,3618,7235,3576,7051,42,184,1774,2350,1090,2265,2164,579,360,1303
1984,Denver Nuggets,1,38,10147,10237,3935,7983,3858,7728,77,255,2200,2690,1133,2444,2482,711,352,1344
1984,Detroit Pistons,1,49,9602,9308,3798,7910,3766,7769,32,141,1974,2547,1427,2434,2256,697,417,1310
1984,Golden State Warriors,0,37,9008,9287,3519,7534,3464,7308,55,226,1915,2577,1390,2171,1837,830,348,1518
1984,Houston Rockets,0,29,9071,9324,3729,7533,3699,7379,30,154,1583,2139,1200,2483,2204,621,515,1562
1984,Indiana Pacers,0,26,8566,8961,3447,7130,3399,6923,48,207,1624,2119,1002,2398,2169,834,398,1525
1984,Kansas City Kings,1,38,9023,9144,3516,7230,3464,7041,52,189,1939,2495,1144,2273,2229,715,383,1504
1984,Los Angeles Lakers,1,54,9478,9170,3854,7250,3796,7024,58,226,1712,2272,1095,2499,2455,726,478,1578
1984,Milwaukee Bucks,1,50,8666,8325,3432,6970,3373,6738,59,232,1743,2354,1135,2385,2113,642,489,1415
1984,New Jersey Nets,1,45,9019,8929,3614,7258,3565,7026,49,232,1742,2488,1221,2313,2148,814,499,1608
1984,New York Knicks,1,47,8763,8448,3386,6837,3339,6672,47,165,1944,2510,1088,2230,2041,803,360,1587
1984,Philadelphia 76ers,1,52,8838,8658,3384,6833,3355,6726,29,107,2041,2706,1181,2382,2032,807,653,1628
1984,Phoenix Suns,1,41,9101,9028,3677,7220,3603,6929,74,291,1673,2204,1066,2298,2214,693,388,1451
1984,Portland Trail Blazers,1,48,9277,8986,3632,7189,3607,7060,25,129,1988,2637,1251,2194,2082,814,397,1483
1984,San Antonio Spurs,0,37,9862,9884,3909,7721,3830,7458,79,263,1965,2604,1230,2528,2361,685,491,1447
1984,San Diego Clippers,0,30,9077,9344,3634,7325,3610,7197,24,128,1785,2424,1307,2382,1981,567,385,1515
1984,Seattle SuperSonics,1,42,8865,8879,3460,7083,3433,6943,27,140,1918,2460,1064,2332,2233,636,350,1360
1984,Utah Jazz,1,45,9428,9335,3606,7242,3505,6925,101,317,2115,2708,1096,2522,2230,695,604,1510
1984,Washington Bullets,1,35,8423,8660,3344,6907,3273,6625,71,282,1664,2201,1027,2387,2192,556,320,1448
1985,Atlanta Hawks,0,34,8743,8862,3444,7119,3371,6884,73,235,1782,2371,1161,2345,2009,665,541,1475
1985,Boston Celtics,1,63,9412,8867,3721,7325,3611,7016,110,309,1860,2307,1116,2630,2287,645,414,1332
1985,Chicago Bulls,1,38,8916,8985,3453,6909,3424,6748,29,161,1981,2526,1074,2366,1992,622,468,1463
1985,Cleveland Cavaliers,1,36,8903,9129,3470,7364,3374,7029,96,335,1867,2491,1203,2445,2096,622,472,1387
1985,Dallas Mavericks,1,44,9116,8938,3560,7280,3408,6837,152,443,1844,2324,1095,2345,2152,575,335,1184
1985,Denver Nuggets,1,52,9841,9641,3876,7976,3803,7741,73,235,2016,2568,1331,2303,2266,894,424,1382
1985,Detroit Pistons,1,46,9508,9304,3840,7999,3795,7800,45,199,1783,2262,1403,2534,2302,691,397,1341
1985,Golden State Warriors,0,22,9052,9654,3498,7555,3386,7158,112,397,1944,2531,1327,2139,1759,803,284,1460
1985,Houston Rockets,1,48,9118,8977,3748,7440,3707,7254,41,186,1581,2261,1325,2395,2239,683,597,1605
1985,Indiana Pacers,0,22,8879,9388,3489,7324,3459,7169,30,155,1871,2516,1198,2623,1945,625,366,1622
1985,Kansas City Kings,0,31,9413,9632,3664,7275,3601,7037,63,238,2022,2595,1167,2327,2342,661,300,1593
1985,Los Angeles Clippers,0,31,8784,9152,3527,7119,3471,6931,56,188,1674,2208,1163,2434,1934,534,497,1587
1985,Los Angeles Lakers,1,62,9696,9093,3952,7254,3862,6959,90,295,1702,2232,1063,2550,2575,695,481,1537
1985,Milwaukee Bucks,1,59,9090,8528,3564,7256,3475,6962,89,294,1873,2473,1256,2353,2164,689,486,1382
1985,New Jersey Nets,1,42,8975,8956,3646,7445,3594,7221,52,224,1631,2237,1233,2325,2163,772,415,1355
1985,New York Knicks,0,24,8627,9007,3435,7101,3384,6903,51,198,1706,2350,1116,2102,1999,754,267,1458
1985,Philadelphia 76ers,1,58,9261,8925,3443,6992,3384,6768,59,224,2316,2883,1301,2364,1999,817,534,1575
1985,Phoenix Suns,1,36,8858,9031,3507,7144,3420,6837,87,307,1757,2280,1026,2425,2335,727,349,1583
1985,Portland Trail Blazers,1,42,9469,9190,3708,7374,3657,7172,51,202,2002,2667,1202,2298,2225,821,516,1481
1985,San Antonio Spurs,1,41,9412,9337,3698,7202,3643,7000,55,202,1961,2571,1127,2470,2316,757,443,1542
1985,Seattle SuperSonics,0,31,8376,8822,3277,6910,3232,6725,45,185,1777,2305,1019,2287,2185,649,343,1493
1985,Utah Jazz,1,41,8937,8946,3478,7302,3375,6995,103,307,1878,2434,1081,2554,2143,712,697,1575
1985,Washington Bullets,1,40,8655,8677,3534,7383,3425,6985,109,398,1478,1989,1012,2395,2088,709,393,1282
1986,Atlanta Hawks,1,50,8906,8712,3447,7029,3414,6863,33,166,1979,2704,1249,2405,2025,736,434,1483
1986,Boston Celtics,1,67,9359,8587,3718,7312,3580,6919,138,393,1785,2248,1054,2753,2387,641,511,1360
1986,Chicago Bulls,1,30,8962,9274,3476,7227,3388,6910,88,317,1922,2499,1280,2278,2006,609,400,1436
1986,Cleveland Cavaliers,0,29,8836,9071,3478,7239,3346,6848,132,391,1748,2325,1086,2455,2064,627,436,1411
1986,Dallas Mavericks,1,44,9453,9363,3631,7254,3490,6808,141,446,2050,2643,1059,2454,2108,605,369,1289
1986,Denver Nuggets,1,47,9410,9303,3705,7868,3634,7563,71,305,1929,2416,1223,2317,2140,826,421,1336
1986,Detroit Pistons,1,46,9363,9267,3754,7750,3699,7568,55,182,1800,2300,1276,2461,2319,738,340,1343
1986,Golden State Warriors,0,30,9299,9582,3650,7567,3563,7289,87,278,1912,2517,1271,2344,2018,751,354,1400
1986,Houston Rockets,1,51,9379,9165,3759,7671,3674,7361,85,310,1776,2434,1316,2434,2318,745,551,1374
1986,Indiana Pacers,0,26,8519,8792,3441,7150,3418,7007,23,143,1614,2183,1138,2613,2159,659,381,1515
1986,Los Angeles Clippers,0,32,8907,9475,3388,7165,3324,6936,64,229,2067,2683,1159,2258,1968,694,501,1506
1986,Los Angeles Lakers,1,62,9618,8983,3834,7343,3696,6934,138,409,1812,2329,1101,2555,2433,693,419,1467
1986,Milwaukee Bucks,1,57,9390,8649,3601,7310,3476,6928,125,382,2063,2701,1189,2420,2158,805,460,1369
1986,New Jersey Nets,1,39,8949,9112,3548,7301,3505,7087,43,214,1810,2396,1183,2483,2128,749,345,1575
1986,New York Knicks,0,23,8094,8554,3239,7034,3157,6795,82,239,1534,2237,1081,2170,1877,714,308,1438
1986,Philadelphia 76ers,1,54,9051,8858,3435,7058,3384,6834,51,224,2130,2810,1326,2378,2017,862,490,1595
1986,Phoenix Suns,0,32,9023,9268,3518,6993,3480,6810,38,183,1949,2683,1034,2449,2272,773,379,1763
1986,Portland Trail Blazers,1,40,9436,9349,3610,7281,3536,7006,74,275,2142,2799,1153,2316,2180,859,356,1529
1986,Sacramento Kings,1,37,8924,9176,3538,7220,3508,7086,30,134,1818,2338,1135,2377,2304,602,388,1533
1986,San Antonio Spurs,1,35,9120,9272,3596,7104,3550,6908,46,196,1882,2523,1069,2413,2260,800,390,1624
1986,Seattle SuperSonics,0,31,8564,8572,3335,7059,3256,6759,79,300,1815,2331,1145,2256,1977,745,295,1435
1986,Utah Jazz,1,42,8871,8901,3453,7083,3418,6914,35,169,1930,2694,1068,2479,2199,717,666,1518
1986,Washington Bullets,1,39,8442,8590,3311,7148,3195,6740,116,408,1704,2286,1066,2432,1748,626,716,1346
1987,Atlanta Hawks,1,57,9024,8431,3435,7141,3300,6716,135,425,2019,2661,1350,2478,2077,700,511,1279
1987,Boston Celtics,1,59,9237,8692,3645,7051,3438,6486,207,565,1740,2153,933,2585,2421,561,526,1300
1987,Chicago Bulls,1,40,8596,8523,3382,7155,3304,6856,78,299,1754,2254,1248,2400,2143,677,438,1257
1987,Cleveland Cavaliers,0,31,8558,8871,3349,7122,3268,6784,81,338,1779,2554,1257,2420,1912,672,559,1619
1987,Dallas Mavericks,1,55,9567,9050,3594,7373,3363,6720,231,653,2148,2717,1219,2494,2017,688,424,1205
1987,Denver Nuggets,1,37,9569,9640,3744,7951,3638,7560,106,391,1975,2568,1294,2368,2317,754,421,1216
1987,Detroit Pistons,1,52,9118,8836,3544,7237,3505,7068,39,169,1991,2602,1245,2649,2021,643,436,1417
1987,Golden State Warriors,1,42,9188,9380,3551,7412,3435,7048,116,364,1970,2526,1193,2351,2083,715,321,1354
1987,Houston Rockets,1,42,8765,8683,3465,7262,3376,6938,89,324,1746,2355,1190,2481,2227,654,555,1384
1987,Indiana Pacers,1,41,8698,8751,3454,7324,3360,7008,94,316,1696,2170,1132,2464,2170,697,311,1276
1987,Los Angeles Clippers,0,12,8566,9503,3311,7332,3233,6984,78,348,1866,2515,1231,2137,1971,751,432,1493
1987,Los Angeles Lakers,1,65,9656,8893,3740,7245,3576,6798,164,447,2012,2550,1127,2515,2428,728,482,1358
1987,Milwaukee Bucks,1,50,9052,8731,3457,7282,3272,6710,185,572,1953,2549,1119,2322,2044,845,393,1260
1987,New Jersey Nets,0,24,8893,9307,3374,7083,3229,6634,145,449,2000,2607,1169,2409,1991,643,397,1617
1987,New York Knicks,0,24,8508,9022,3329,7023,3204,6648,125,375,1725,2362,1108,2162,1941,704,396,1420
1987,Philadelphia 76ers,1,45,8729,8745,3335,6792,3247,6452,88,340,1971,2617,1178,2327,1943,768,540,1519
1987,Phoenix Suns,0,36,9111,9311,3575,7190,3514,6938,61,252,1900,2499,1113,2366,2354,703,397,1498
1987,Portland Trail Blazers,1,49,9667,9410,3650,7249,3552,6910,98,339,2269,2928,1180,2413,2359,767,387,1546
1987,Sacramento Kings,0,29,9095,9359,3522,7413,3445,7106,77,307,1974,2479,1282,2441,2185,513,397,1403
1987,San Antonio Spurs,0,28,8882,9300,3532,7456,3415,7053,117,403,1701,2292,1285,2347,2220,786,325,1406
1987,Seattle SuperSonics,1,39,9325,9287,3593,7451,3402,6880,191,571,1948,2571,1373,2395,2184,705,450,1509
1987,Utah Jazz,1,44,8844,8811,3485,7514,3346,7066,139,448,1735,2389,1194,2456,2240,835,628,1403
1987,Washington Bullets,1,42,8690,8802,3356,7397,3313,7179,43,218,1935,2531,1305,2315,1750,755,685,1301
1988,Atlanta Hawks,1,50,8844,8549,3443,7102,3358,6820,85,282,1873,2441,1228,2379,2062,635,537,1225
1988,Boston Celtics,1,57,9315,8828,3599,6905,3328,6200,271,705,1846,2300,930,2440,2448,620,415,1304
1988,Chicago Bulls,1,50,8609,8330,3434,7015,3378,6772,56,243,1685,2221,1170,2459,2149,712,475,1263
1988,Cleveland Cavaliers,1,42,8566,8504,3313,6755,3186,6419,127,336,1813,2438,1015,2289,2070,733,526,1439
1988,Dallas Mavericks,1,53,8960,8602,3413,7191,3259,6665,154,526,1980,2510,1341,2495,1984,645,446,1257
1988,Denver Nuggets,1,54,9573,9239,3770,7961,3578,7399,192,562,1841,2289,1163,2442,2300,832,401,1186
1988,Detroit Pistons,1,54,8957,8533,3461,7018,3403,6816,58,202,1977,2612,1181,2482,2011,588,394,1348
1988,Golden State Warriors,0,20,8771,9453,3463,7404,3372,7092,91,312,1754,2204,1140,2252,2005,741,283,1395
1988,Houston Rockets,1,46,8935,8821,3465,7354,3396,7063,69,291,1936,2483,1239,2530,1936,712,502,1367
1988,Indiana Pacers,0,38,8581,8646,3436,7154,3273,6669,163,485,1546,1982,1078,2457,1977,619,345,1318
1988,Los Angeles Clippers,0,17,8103,8949,3190,7194,3111,6877,79,317,1644,2305,1191,2350,1885,721,520,1534
1988,Los Angeles Lakers,1,62,9250,8771,3576,7078,3434,6600,142,478,1956,2480,1073,2491,2347,672,404,1318
1988,Milwaukee Bucks,1,42,8697,8653,3366,7079,3233,6669,133,410,1832,2364,1117,2335,2194,671,380,1275
1988,New Jersey Nets,0,19,8235,8900,3208,6857,3071,6402,137,455,1682,2308,1075,2262,1795,727,385,1503
1988,New York Knicks,1,38,8655,8695,3363,7232,3184,6665,179,567,1750,2306,1286,2194,2012,789,445,1518
1988,Philadelphia 76ers,0,36,8667,8785,3214,6785,3062,6314,152,471,2087,2731,1219,2307,1897,672,465,1433
1988,Phoenix Suns,0,28,8901,9268,3551,7302,3433,6945,118,357,1681,2200,1113,2379,2332,675,353,1413
1988,Portland Trail Blazers,1,53,9518,9147,3661,7460,3544,7080,117,380,2079,2701,1251,2491,2307,726,347,1351
1988,Sacramento Kings,0,24,8855,9327,3458,7337,3314,6887,144,450,1795,2324,1232,2461,2116,582,493,1457
1988,San Antonio Spurs,1,31,9314,9714,3706,7559,3573,7147,133,412,1769,2412,1184,2335,2344,739,468,1418
1988,Seattle SuperSonics,1,44,9135,8966,3544,7443,3323,6805,221,638,1826,2442,1313,2314,2146,775,447,1376
1988,Utah Jazz,1,47,8899,8597,3484,7092,3355,6688,129,404,1802,2404,1066,2553,2407,771,627,1481
1988,Washington Bullets,1,38,8653,8716,3355,7164,3326,7026,29,138,1914,2476,1229,2297,1875,698,502,1384
1989,Atlanta Hawks,1,52,9102,8699,3412,7230,3302,6833,110,397,2168,2709,1372,2316,1990,817,474,1310
1989,Boston Celtics,1,42,8958,8863,3520,7143,3442,6834,78,309,1840,2349,1179,2442,2189,639,418,1336
1989,Charlotte Hornets,0,20,8566,9265,3426,7430,3292,7000,134,430,1580,2060,1138,2200,2323,705,264,1318
1989,Chicago Bulls,1,47,8726,8608,3448,6968,3274,6438,174,530,1656,2106,1018,2453,2213,722,376,1327
1989,Cleveland Cavaliers,1,57,8923,8300,3466,6904,3296,6430,170,474,1821,2438,1033,2475,2260,791,586,1323
1989,Dallas Mavericks,0,38,8484,8583,3244,6917,3033,6236,211,681,1785,2263,1048,2397,1867,579,476,1233
1989,Denver Nuggets,1,44,9675,9536,3813,8140,3585,7464,228,676,1821,2314,1206,2513,2282,811,436,1225
1989,Detroit Pistons,1,63,8740,8264,3395,6879,3275,6479,120,400,1830,2379,1154,2546,2027,522,406,1336
1989,Golden State Warriors,1,43,9558,9583,3730,7977,3536,7348,194,629,1904,2384,1323,2561,2009,831,643,1488
1989,Houston Rockets,1,45,8897,8819,3412,7196,3248,6673,164,523,1909,2527,1211,2554,2016,789,501,1569
1989,Indiana Pacers,0,28,8767,9109,3385,6945,3183,6330,202,615,1795,2275,1065,2497,2012,563,418,1547
1989,Los Angeles Clippers,0,21,8712,9525,3526,7428,3472,7194,54,234,1606,2220,1156,2384,2208,815,530,1666
1989,Los Angeles Lakers,1,57,9406,8818,3584,7143,3357,6476,227,667,2011,2508,1094,2612,2282,724,421,1344
1989,Miami Heat,0,15,8016,8937,3221,7116,3124,6818,97,298,1477,2103,1309,2211,1958,744,408,1728
1989,Milwaukee Bucks,1,49,8932,8636,3399,7167,3220,6600,179,567,1955,2382,1133,2272,2071,821,323,1305
1989,New Jersey Nets,0,26,8506,9027,3333,7226,3146,6658,187,568,1653,2260,1204,2419,1793,773,431,1449
1989,New York Knicks,1,52,9567,9258,3701,7611,3315,6464,386,1147,1779,2366,1322,2265,2083,900,446,1572
1989,Philadelphia 76ers,1,46,9174,9051,3500,7201,3296,6555,204,646,1970,2504,1143,2356,2110,689,354,1214
1989,Phoenix Suns,1,55,9727,9096,3754,7545,3586,7064,168,481,2051,2594,1095,2619,2280,693,416,1279
1989,Portland Trail Blazers,1,39,9395,9275,3695,7795,3479,7150,216,645,1789,2416,1384,2381,2212,828,388,1435
1989,Sacramento Kings,0,27,8651,9106,3362,7351,3055,6527,307,824,1620,2104,1141,2454,1970,624,409,1370
1989,San Antonio Spurs,0,21,8652,9249,3469,7409,3406,7116,63,293,1651,2367,1295,2181,2037,961,423,1712
1989,Seattle SuperSonics,1,47,9196,8958,3564,7478,3271,6704,293,774,1775,2379,1397,2238,2083,864,494,1403
